gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Snrnp27,385.7176767373519,-0.05551311824414774,0.11110178186780335,0.5218943155886357,0.6547198471759664
Ocrl,3429.6988418863757,0.12203659000413727,0.0907569170519412,0.10691371737540233,0.19923799858248198
Calm1,52914.81063080429,-0.20527199989137168,0.06987694415130324,9.95135330682966e-4,0.003961758607915199
Agpat3,4527.282254607452,-0.09998995420061131,0.06730093901828317,0.09627022625286108,0.18371133183311275
Sema6b,197.0227803662942,1.8432155245497,0.26060221594597555,1.5265125168315504e-14,4.197227942484607e-13
Dpp9,3766.2952500784445,0.11090439716670204,0.05617308912036363,0.031892270351109836,0.07608928649718592
Gramd1a,5453.946232708897,-0.11586320754968761,0.08036861351191381,0.09361857274137746,0.1797371538385735
Hpn,67.00967393769758,-0.9374205173457903,0.24003996316579734,2.3400391984228945e-6,1.813542363508386e-5
Ckb,7550.563559720027,-0.2728740626815768,0.06445016994012308,4.302635563403897e-6,3.13608667869877e-5
Sp1,1239.31103881792,-0.14473609123415726,0.11973999871573124,0.11527266430886322,0.21114181099726057
Myg1,438.2597393875973,-0.17764177974203582,0.11292920954155218,0.04614435734522568,0.10256336950171235
Rarg,328.22223627512625,1.0672958128788308,0.18702524004492785,5.272721792542828e-10,7.569858629433864e-9
Pfdn5,1431.6141743355283,-0.20490435106794164,0.07102053587619589,0.0011835757195632658,0.004602047258074592
Efnb2,1145.0234084686983,-0.07628458692384153,0.14729319966622928,0.4545453559146971,0.593438229375436
Rrp15,221.74101732646434,-0.13769557709318556,0.10505439576545632,0.10161168124061759,0.1914720344993005
Rnd2,1064.5660580927354,0.083160731694241,0.06984940628539152,0.1798097946843662,0.29774123550504406
Srr,2087.601725833495,0.15356805421709985,0.09468363485869055,0.04984760176673346,0.10902392730160204
Sync,852.2981801445926,0.05025368585743305,0.12094509787977646,0.5819531948590568,0.7049365182686461
Fbxo9,813.6392140384936,-0.06115906246674507,0.16787574078699763,0.5699895627143471,0.6948175589822195
Vps50,1307.745414039799,0.08233989742899579,0.0841825606175619,0.25007917009238195,0.38352530094596127
Hars,4734.291099198623,-0.1460193738515247,0.04456526401082419,5.266858640558662e-4,0.0022700197597761234
Zmat2,1497.9607564183846,-0.09446846915990112,0.07284605543732879,0.14030508621172277,0.24585653481382316
Smg5,3121.2664832748183,0.04213604928714223,0.0536675885164259,0.3985452604162273,0.5407887770221511
Cct3,5191.474081685012,-0.2096263102267977,0.05102519174705451,1.108922175088962e-5,7.367693286270676e-5
Glmp,949.3714591118019,-0.06943921487207508,0.1259625294161881,0.45839539987213274,0.5971593779825415
Mef2d,3159.2690960596274,0.19366555109742364,0.07381918961108323,0.0029132378420598094,0.010105678326807303
Snd1,3220.221257886513,-0.26823251438234946,0.13128854508351973,0.00842953256140735,0.02496947133851914
Col18a1,107.96962899414044,-1.5768496894961839,0.1963832785552983,2.7542802208110588e-17,1.0702594246041207e-15
Slc19a1,1220.199067822671,0.34888964748452184,0.08317929055370955,3.7481202379031745e-6,2.7762684961209442e-5
Kpnb1,11465.124115880724,0.13625321352869074,0.0707263538091239,0.02930964126522206,0.07093611433786878
Npepps,5335.372274115949,-0.02944930044511174,0.0750478819644652,0.6542652421231465,0.7638541998272834
Mrpl10,1295.137128659019,0.08701673781819157,0.0669331563884079,0.14627496978387872,0.25399141215080606
Cyp51,7200.333609589082,0.5184911229857956,0.16778362982360717,9.755702958634599e-5,5.102791891484544e-4
Tcf25,20409.110185677124,-0.14573039755049297,0.06058626600563613,0.008116223897791002,0.024230646139842354
Tubb6,235.77083958950357,0.1603639033315918,0.15517657300244928,0.13608444785691198,0.24036252203920874
Def8,3076.6447701199318,-0.0028260261645788724,0.062037601605031606,0.9601008373693567,0.9748204842330809
Itga3,5063.704736597659,-0.44732227295003657,0.0870312152460494,2.4956258576610944e-8,2.797190110524965e-7
Foxm1,132.9318258167533,-0.44438754579271317,0.2291808798947143,0.003627935421453,0.012216760120682901
Itfg2,604.3530546436011,-0.3154531819722547,0.18895781045212423,0.014347688555882235,0.03924824064653728
Nrip2,438.87435005615913,-1.0347422469902976,0.3861055070726867,1.1557251098141468e-4,5.939183105002361e-4
Tulp3,1466.685073752946,0.4540345868522402,0.07261399308453849,3.780431845222969e-11,6.494750274680131e-10
Gtf2h4,298.9044673789467,0.14840164825976204,0.13424217936304836,0.13289409153892004,0.23610464874472134
Tubb5,84542.48851149715,0.47282967024459327,0.10515453423910787,5.028525480917189e-7,4.517970596202621e-6
Ell2,479.1552029651274,-0.7988211852529263,0.23473134020141356,1.5348889605257714e-5,9.85240344750206e-5
Jup,19549.103492735274,-0.03653765033268095,0.07581972476955065,0.5813556849917683,0.704420551616034
Nom1,999.5865464471858,0.3770965304899823,0.15566256743056905,0.0015801116735922622,0.0059286675587296635
Ergic1,3550.062147546973,0.11317076641926431,0.07849809718319886,0.09541167465225718,0.1823203896677681
Ifrd1,1678.72179171105,-0.5552173709921893,0.1385494586759886,2.6703919893885776e-6,2.04563983366222e-5
Stk38l,642.8999232580288,-0.04934617894348763,0.10001059271512548,0.541944360941921,0.6728150209718387
Brpf1,933.4854752193495,-0.046739794438762985,0.08339078843969462,0.5113199003436404,0.6461262343488882
